FieldID	BorrowerPair	InstanceIndex	FieldSize	IncludeInAuditTrail	UseIndexForThisField	Description
2	1			TRUE	FALSE	TOTAL LOAN AMT (W/ MIP/FF)
3	1			TRUE	FALSE	INTEREST RATE
4	1			TRUE	FALSE	TERM (MOS)
5	1			FALSE	FALSE	TOTAL MONTHLY PAYMENT
11	1		32	TRUE	FALSE	SUBJECT PROPERTY STREET
12	1		22	TRUE	FALSE	SUBJECT PROPERTY CITY
13	1		16	TRUE	FALSE	SUBJECT PROPERTY COUNTY
14	1		2	TRUE	FALSE	SUBJECT PROPERTY STATE
15	1		10	TRUE	FALSE	SUBJECT PROPERTY ZIP
16	1			TRUE	FALSE	SUBJECT PROPERTY # UNITS
17	1		50	TRUE	FALSE	SUBJECT PROPERTY LEGAL DESC1
18	1		4	TRUE	FALSE	SUBJECT PROPERTY YR BUILT
19	1		20	TRUE	FALSE	LOAN PURPOSE
31	1		22	FALSE	FALSE	SUBJECT PROPERTY TITLE NAME 1
36	1		20	FALSE	FALSE	Borrower First/Middle Name
37	1		20	FALSE	FALSE	Borrower Last Name/Suffix
52	1		10	TRUE	FALSE	BORR MARITAL STATUS
60	1		10	TRUE	FALSE	CO-BORR EXPERIAN FICO
65	1		11	TRUE	FALSE	BORR SSN
66	1		16	FALSE	FALSE	BORR HOME PHONE
67	1		10	TRUE	FALSE	BORR EXPERIAN FICO
68	1		20	FALSE	FALSE	Co-Borrower First/Middle Name
69	1		20	FALSE	FALSE	Co-Borrower Last Name/Suffix
84	1		10	TRUE	FALSE	CO-BORR MARITAL STATUS
97	1		11	TRUE	FALSE	CO-BORR SSN
136	1			TRUE	FALSE	SUBJECT PROPERTY PURCHASE PRICE
138	1			FALSE	FALSE	EST PREPAIDS
155	1			FALSE	FALSE	FEES LINE 801 USER DEF FEE 1 BORR
200	1			FALSE	FALSE	HUD LINE 801G SELLER AMOUNT
228	1			FALSE	FALSE	EXPENSES PROPOSED MTG PYMT
230	1		10	FALSE	FALSE	EXPENSES PROPOSED HAZ INS
231	1			FALSE	FALSE	FEES TAX PER MO
